Timestamp;ts
2018-12-27 08:00:00;0.24
2018-12-27 20:15:00;0.16
2018-12-28 08:00:00;0.27
2018-12-28 17:10:00;0.2
2018-12-28 20:00:00;0.19
2018-12-29 08:00:00;0.23
2018-12-29 21:45:00;0.25
2018-12-30 08:00:00;0.21
2018-12-30 20:00:00;0.25
2018-12-31 08:00:00;0.28
2018-12-31 20:00:00;0.33
2019-01-01 08:00:00;0.33
2019-01-01 21:20:00;0.2
2019-01-02 08:00:00;0.39
2019-01-02 14:20:00;0.21
2019-01-02 20:00:00;0.29
2019-01-03 08:00:00;0.29
2019-01-03 20:10:00;0.33
2019-01-04 08:00:00;0.2
2019-01-04 20:00:00;0.2
2019-01-05 08:00:00;0.27
2019-01-05 21:45:00;0.35
2019-01-06 08:00:00;0.23
2019-01-06 20:00:00;0.5
2019-01-07 02:55:00;0.38
2019-01-07 08:00:00;0.5
2019-01-07 20:00:00;0.48
2019-01-08 01:50:00;0.19
2019-01-08 08:00:00;0.41
2019-01-08 20:40:00;0.28
2019-01-09 08:00:00;0.33
2019-01-09 20:00:00;0.37
2019-01-10 08:00:00;0.37
2019-01-10 20:00:00;0.42
2019-01-11 08:00:00;0.5
2019-01-11 20:00:00;0.34
2019-01-12 08:00:00;0.27
2019-01-12 20:00:00;0.3
2019-01-13 08:00:00;0.37
2019-01-13 20:00:00;0.47
2019-01-14 08:00:00;0.34
2019-01-14 20:00:00;0.33
2019-01-15 08:00:00;0.36
2019-01-15 20:00:00;0.46
2019-01-16 08:00:00;0.48
2019-01-16 20:00:00;0.33
2019-01-17 08:00:00;0.36
2019-01-17 20:00:00;0.33
2019-01-18 08:00:00;0.43
2019-01-18 20:00:00;0.43
2019-01-19 08:00:00;0.42
2019-01-19 20:00:00;0.36
2019-01-20 08:00:00;0.41
2019-01-20 20:00:00;0.39
2019-01-21 08:00:00;0.41
2019-01-21 20:00:00;0.5
2019-01-21 23:10:00;0.5
2019-01-22 08:00:00;0.41
2019-01-22 20:00:00;0.32
2019-01-23 08:00:00;0.43
2019-01-23 20:00:00;0.41
2019-01-24 08:00:00;0.31
2019-01-24 20:00:00;0.3
2019-01-25 08:00:00;0.24
2019-01-25 20:00:00;0.19
2019-01-26 08:00:00;0.27
2019-01-26 20:00:00;0.29
2019-01-27 08:00:00;0.33
2019-01-27 20:00:00;0.19
2019-01-28 08:00:00;0.25
2019-01-28 20:00:00;0.38
2019-01-29 08:00:00;0.44
2019-01-29 20:00:00;0.41
2019-01-30 08:00:00;0.41
2019-01-30 20:00:00;0.3
2019-01-31 08:00:00;0.38
2019-01-31 20:00:00;0.29
2019-02-01 08:00:00;0.44
2019-02-01 20:00:00;0.41
2019-02-02 08:00:00;0.38
2019-02-02 20:00:00;0.5
2019-02-03 01:15:00;0.5
2019-02-03 08:00:00;0.32
2019-02-03 20:00:00;0.4
2019-02-04 08:00:00;0.5
2019-02-04 20:00:00;0.28
2019-02-05 08:00:00;0.39
2019-02-05 20:00:00;0.42
2019-02-06 08:00:00;0.4
2019-02-06 20:00:00;0.5
2019-02-06 22:10:00;0.48
2019-02-07 08:00:00;0.38
2019-02-07 14:10:00;0.41
2019-02-07 20:00:00;0.5
2019-02-08 08:00:00;0.5
2019-02-08 20:00:00;0.5
2019-02-09 08:00:00;0.5
2019-02-09 20:00:00;0.57
2019-02-10 08:00:00;0.46
2019-02-10 20:00:00;0.49
2019-02-11 08:00:00;0.52
2019-02-11 20:00:00;0.49
2019-02-12 08:00:00;0.5
2019-02-12 15:00:00;0.41
2019-02-12 20:00:00;0.42
2019-02-13 08:00:00;0.41
2019-02-13 20:00:00;0.44
2019-02-14 08:00:00;0.43
2019-02-14 20:00:00;0.5
2019-02-15 00:05:00;0.5
2019-02-15 08:00:00;0.41
2019-02-15 20:00:00;0.25
2019-02-16 08:00:00;0.5
2019-02-16 12:15:00;0.5
2019-02-16 20:00:00;0.34
2019-02-17 08:00:00;0.37
2019-02-17 20:00:00;0.28
2019-02-18 08:00:00;0.32
2019-02-18 20:00:00;0.44
2019-02-19 08:00:00;0.48
2019-02-19 20:00:00;0.34
2019-02-20 08:00:00;0.37
2019-02-20 20:00:00;0.38
2019-02-21 08:00:00;0.4
2019-02-21 20:00:00;0.3
2019-02-22 08:00:00;0.36
2019-02-22 20:00:00;0.34
2019-02-23 08:00:00;0.39
2019-02-23 20:00:00;0.39
2019-02-24 08:00:00;0.32
2019-02-24 20:00:00;0.31
2019-02-25 08:00:00;0.34
2019-02-25 20:00:00;0.46
2019-02-26 08:00:00;0.36
2019-02-26 20:00:00;0.35
2019-02-27 08:00:00;0.49
2019-02-27 20:00:00;0.41
2019-02-28 08:00:00;0.42
2019-02-28 20:00:00;0.33
2019-04-01 08:00:00;0.21
2019-04-01 20:00:00;0.07
2019-04-02 08:00:00;0.14
2019-04-02 20:00:00;0.12
2019-04-03 08:00:00;0.31
2019-04-03 20:00:00;0.15
2019-04-04 08:00:00;0.02
2019-04-04 12:25:00;0.11
2019-04-04 20:00:00;0.12
2019-04-05 08:00:00;0.12
2019-04-05 20:00:00;0.06
2019-04-06 08:00:00;0.16
2019-04-06 20:00:00;0.12
2019-04-07 08:00:00;0.13
2019-04-07 20:00:00;0.27
2019-04-08 08:00:00;0.12
2019-04-08 20:00:00;0.17
2019-04-09 08:00:00;0.17
2019-04-09 20:00:00;0.16
2019-04-10 08:00:00;0.25
2019-04-10 20:00:00;0.11
2019-04-11 08:00:00;0.17
2019-04-11 20:00:00;0.15
2019-04-12 08:00:00;0.1
2019-04-12 20:00:00;0.29
2019-04-13 08:00:00;0.16
2019-04-13 20:00:00;0.11
